EwEVersion,"6.6.8.18072 (compiled 11/4/2022)"
Date,"10/17/2023 10:05:33 AM"
ModelName,"NWACS AM 7ages"
EcosimScenario,forcing_pdsi_egg_amo1
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,ValueFleetGroup

timestep,fleet,group,value
343,3,11,9.535829E-05
344,1,1,1.286586E-06
344,3,11,9.511723E-05
345,1,1,1.291056E-06
345,3,11,9.494062E-05
346,1,1,1.310754E-06
346,3,11,9.478682E-05
347,1,1,1.336944E-06
347,3,11,9.461916E-05
348,1,1,1.357021E-06
348,3,11,9.442698E-05
349,1,1,1.363086E-06
349,3,11,9.422708E-05
350,1,1,1.354054E-06
350,3,11,9.402339E-05
351,1,1,1.329885E-06
351,3,11,9.384268E-05
352,1,1,1.295967E-06
352,3,11,9.370019E-05
353,1,1,1.258654E-06
353,3,11,9.360152E-05
354,1,1,1.225546E-06
354,3,11,9.352044E-05
355,1,1,1.197575E-06
355,3,11,9.340741E-05
356,1,1,1.169865E-06
356,3,11,9.325916E-05
357,1,1,1.142404E-06
357,3,11,9.30601E-05
358,1,1,1.112406E-06
358,3,11,9.279997E-05
359,1,1,1.075577E-06
359,3,11,9.250548E-05
360,1,1,1.032481E-06
360,3,11,9.219654E-05
361,1,1,9.864788E-07
361,3,11,9.189415E-05
362,1,1,9.432952E-07
362,3,11,9.159654E-05
363,1,1,9.056149E-07
363,3,11,9.128579E-05
364,1,1,8.725738E-07
364,3,11,9.095654E-05
365,1,1,8.459251E-07
365,3,11,9.059345E-05
366,1,1,8.21446E-07
366,3,11,9.017878E-05
367,1,1,7.931591E-07
367,3,11,8.97527E-05
368,1,1,7.648397E-07
368,3,11,8.931331E-05
369,1,1,7.383885E-07
369,3,11,8.884998E-05
370,1,1,7.123159E-07
370,3,11,8.836603E-05
371,1,1,6.868925E-07
371,3,11,8.786761E-05
372,1,1,6.624127E-07
372,3,11,8.735029E-05
373,1,1,6.379723E-07
373,3,11,8.682421E-05
374,1,1,6.125051E-07
374,3,11,8.629495E-05
375,1,1,5.874044E-07
375,3,11,8.578284E-05
376,1,1,5.672074E-07
376,3,11,8.526217E-05
377,1,1,5.496042E-07
377,3,11,8.472417E-05
378,1,1,5.317199E-07
378,3,11,8.41841E-05
379,1,1,5.143989E-07
379,3,11,8.363952E-05
380,1,1,4.996346E-07
380,3,11,8.307968E-05
381,1,1,4.880524E-07
381,3,11,8.248365E-05
382,1,1,4.760797E-07
382,3,11,8.185278E-05
383,1,1,4.621818E-07
383,3,11,8.119868E-05
384,1,1,4.474989E-07
384,3,11,8.05158E-05
385,1,1,4.306212E-07
385,3,11,7.980933E-05
386,1,1,4.119587E-07
386,3,11,7.908725E-05
387,1,1,3.931087E-07
387,3,11,7.83468E-05
388,1,1,3.705369E-07
388,3,11,7.759663E-05
389,1,1,3.39434E-07
389,3,11,7.688368E-05
390,1,1,3.076732E-07
390,3,11,7.628238E-05
391,1,1,2.82636E-07
391,3,11,7.578273E-05
392,1,1,2.647911E-07
392,3,11,7.537329E-05
393,1,1,2.531101E-07
393,3,11,7.50079E-05
394,1,1,2.447547E-07
394,3,11,7.464857E-05
395,1,1,2.370527E-07
395,3,11,7.43015E-05
396,1,1,2.295047E-07
396,3,11,7.393455E-05
